,candle,week_day,open_type,D2_1,D0_1,U1_1,U3_1,U4_1,U3_2,U4_2,U3_3,U2_1,U1_2,U2_2,D0_2,D2_2,D3_1,D0_3,U1_3,U2_3,U3_4,U2_4,U1_4,U2_5,U3_5,D4_1,D5_1,D6_1,D5_2,D4_2,D5_3,D4_3,D5_4,D6_2,D5_5,D7_1,D6_3,D7_2,D8_1,D7_3,D6_4,D7_4,D6_5,D7_5,U5_1,U7_1,U8_1,U9_1,S_UKN_1,D1_1,D1_2,D0_4,D1_3,D0_5,D1_4,D0_6,D1_5,D0_7,D3_2,D3_3,D5_6,D3_4,D5_7,D5_8,D4_4,D3_5,D5_9,D4_5,D5_10,D3_6,D9_1,D10_1,D9_2,D10_2,S_UKN_2,D1_6,D2_3,D2_4,D2_5,U6_1,U6_2,U5_2,U5_3,U4_3,U5_4,U5_5,U6_3,U7_2,U6_4,U7_3,U8_2,U4_4,U9_2,U9_3,S_UKN_3,U5_6,U9_4,D4_6,U4_5,D8_2,D8_3,D9_3,D9_4,D9_5,D10_3,D9_6,S_UKN_4,D10_4,D10_5,D10_6,D10_7,D3_7,U4_6,U4_7,D8_4,D9_7,U1_5,U1_6,U1_7,D6_6,D7_6,D6_7,D6_8,U3_6,D2_6,U8_3,U8_4,U8_5,U6_5,U9_5,U4_8,D8_5,D8_6,D8_7,U7_4,U7_5,U6_6,U6_7,U2_6,U5_7,U5_8,D3_8,D0_8
0,CDLTASUKIGAP_UP,Wednesday,INSIDE_VA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CDLHIKKAKE_DN,Tuesday,BELOW_VA,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CDL_UNK,Monday,GAP_UP,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CDL_UNK,Friday,INSIDE_VA,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CDL_UNK,Thursday,GAP_DOWN,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CDL_UNK,Wednesday,GAP_UP,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CDL_UNK,Tuesday,INSIDE_VA,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CDL_UNK,Monday,GAP_DOWN,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CDL_UNK,Friday,GAP_DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CDLENGULFING_UP,Thursday,BELOW_VA,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
